pub_id,doi,isbn,doc_type,pub_year,title,source,volume,issue,pages,openalex_id,editor,location,edition,publisher
417,NA,NA,Building History,2015,M. M. O'Brien Hall (M Building),Dalhousie Archives,NA,NA,NA,https://openalex.org/W2730492151,NA,NA,NA,NA
418,NA,NA,Building History,2015,Moren House (L Building),Dalhousie Archives,NA,NA,NA,https://openalex.org/W2131466250,NA,NA,NA,NA
419,NA,NA,Building History,2015,National Research Centre Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W2139668820,NA,NA,NA,NA
420,NA,NA,Building History,2015,Nova Scotia Archives & Records Management Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W2188094381,NA,NA,NA,NA
421,NA,NA,Building History,2015,President's Residence,Dalhousie Archives,NA,NA,NA,https://openalex.org/W1561253934,NA,NA,NA,NA
422,NA,NA,Building History,2015,Sexton House (E Building),Dalhousie Archives,NA,NA,NA,https://openalex.org/W2276426628,NA,NA,NA,NA
423,NA,NA,Building History,2015,Sir Charles Tupper Medical Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W2107730959,NA,NA,NA,NA
424,NA,NA,Building History,2015,Sir James Dunn Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W2265847946,NA,NA,NA,NA
425,NA,NA,Building History,2015,Student Union Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W1497770555,NA,NA,NA,NA
426,10.3138/ctr.150.61,NA,journal-article,2012,"Tangible Archives of the Intangible, or Archiving the Ineluctable Modality of the Theatrical",Canadian Theatre Review,150,1,61-63,https://openalex.org/W2079351637,NA,NA,NA,NA
427,10.3138/ctr.156.001,NA,journal-article,2013,The Urgency of Archives,Canadian Theatre Review,156,156,5-6,https://openalex.org/W2030525176,NA,NA,NA,NA
428,NA,NA,journal-article,2007,Theatre Archives' Outreach and Core Archival Functions,Archivaria,63,63,35-54,https://openalex.org/W1933764499,NA,NA,NA,NA
429,10.7202/1017680ar,NA,journal-article,1990,"To Love, Honour and Obey: Wife-battering in Working-Class Montreal, 1869-79",Urban History Review-revue D Histoire Urbaine,19,2,128-140,https://openalex.org/W2032356802,NA,NA,NA,NA
430,NA,NA,journal-article,2013,"TOMAS LIDMAN, Libraries and Archives: A Comparative Study",Archivaria,76,NA,149-152,https://openalex.org/W36900029,NA,NA,NA,NA
431,NA,NA,Building History,2015,University Children's Centre & Residence,Dalhousie Archives,NA,NA,NA,https://openalex.org/W1035317048,NA,NA,NA,NA
432,NA,NA,Building History,2015,Weldon Law Building,Dalhousie Archives,NA,NA,NA,https://openalex.org/W1578568048,NA,NA,NA,NA
433,NA,NA,journal-article,2013,When a Script is Not a Script,Canadian Theatre Review,156,156,64-65,https://openalex.org/W272390638,NA,NA,NA,NA
434,10.21083/partnership.v11i2.3703,NA,Article,2017,An Exploration of Faculty Experiences With Open Access Journal Publishing at Two Canadian Comprehensive Universities,Partnership: The Canadian Journal of Library and Information Practice and …,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,NA,Conference Presentation,2020,How To Fulfil All Our Lending and (Our Patrons’) Borrowing Dreams,Ontario Library Association Super Conference,NA,NA,NA,NA,NA,NA,NA,NA
436,10.1108/07378830910942973,NA,Article,2009,One box to search them all: Implementing federated search at an academic library,Library Hi Tech,27,1,NA,NA,NA,NA,NA,NA
437,NA,NA,Conference Presentation,2015,Protect yourself from Predatory Publishers: Tips for staying safe in Scholarly Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,10.5703/1288284316282,NA,Proceedings Paper,2015,Creating the Sandbox: The Juxtaposition of Collections and Student Development,WHERE DO WE GO FROM HERE?,NA,NA,355-363,NA,NA,NA,NA,NA
439,NA,NA,article,2018,AZ List Migration: Employing Collaborative Project Management at the University of Guelph McLaughlin Library,Collaborative Librarianship,10,4,NA,NA,NA,NA,NA,NA
440,NA,NA,article,2008,B105-The Millenial Mythology: Putting Suppositions to the Test in an Academic Library,COMPUTERS IN LIBRARIES-ANNUAL CONFERENCE AND EXHIBITION USA-,23,NA,37,NA,NA,NA,NA,NA
441,NA,NA,Conference Presentation,2018,Discovery Panel (Parts 1 and 2),ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
442,NA,NA,Conference Presentation,2017,Discovery Panel: A Compare and Contrast of Summon & Primo,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
443,NA,NA,Conference Presentation,2014,Hacking Your Discovery Layer,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
444,NA,NA,Report,2011,"If You Build It, Will They Come? Reality-Based Emerging Services Planning for Millenial Students",NA,NA,NA,NA,NA,NA,NA,NA,NA
445,NA,NA,Conference Presentation,2018,Integrating Ares Requests into the Primo UI,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,NA,book-chapter,2012,Millenials and technology: putting suppositions to the test in an academic library,Meeting the needs of student users in academic libraries: reaching across …,NA,NA,NA,NA,NA,NA,NA,NA
447,NA,NA,Conference Presentation,2012,"Primo Central trial, usability testing, and implementation options",ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
448,NA,NA,Conference Paper,2015,Semi-Advanced Primo Customisations,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
449,NA,NA,Conference Presentation,2019,Shifting Priorities: Preparing to Migrate to Alma/Primo,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
450,NA,NA,Conference Presentation,2014,Student Technology Trends,ELUNA,NA,NA,NA,NA,NA,NA,NA,NA
451,NA,NA,Book Chapter,2012,"Beyond Swag. Reflections on libraries, pencils, and the limits of “green” consumerism",Greening Libraries,NA,NA,NA,NA,NA,NA,NA,NA
452,10.24242/jclis.v1i1.6,NA,Article,2017,On “Diversity” as Anti-Racism in Library and Information Studies: A Critique,Journal of Critical Library and Information Studies,1,1,NA,NA,NA,NA,NA,NA
453,NA,NA,Conference Proceedings,2016,On Critical Librarianship & Pedagogies of the Practical,The University of Arizona,NA,NA,NA,NA,NA,NA,NA,NA
454,NA,NA,Article,2016,On Dark Continents and Digital Divides: Information Inequality and the Reproduction of Racial Otherness in Library and Information Studies/Response to Hudson,Journal of Information Ethics,25,1,62-82,NA,NA,NA,NA,NA
455,NA,NA,Conference Presentation,2016,On Structures and Self-Work: Locating Anti-Racist Politics in LIS,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,NA,NA,Article,2020,The Displays: On Anti-Racist Study and Institutional Enclosure,up//root,NA,NA,NA,NA,NA,NA,NA,NA
457,NA,NA,Article,2017,The whiteness of practicality,Library Juice Press,NA,NA,NA,NA,NA,NA,NA,NA
458,NA,NA,Article,2012,Troubling “Information Inequality”: Critical Reflections on Library and Information Professionals and Global Aid Work,Information for Social Change,12,4,NA,NA,NA,NA,NA,NA
459,10.1353/ils.2012.0010,NA,Article,2012,"Unpacking"" Information Inequality"": Toward a Critical Discourse of Global Justice in Library and Information Science/Pour exposer la question de «l'inégalité de l'information …",Canadian Journal of Information and Library Science,36,3,69-87,NA,NA,NA,NA,NA
460,NA,NA,Article,2018,AZ List Migration: Employing Collaborative Project Management at the University of Guelph McLaughlin Library,Collaborative Librarianship,10,4,NA,NA,NA,NA,NA,NA
461,NA,NA,Conference Presentation,2016,Discovering the junction: professor expectations and student interpretations of academic skills,WILU,NA,NA,NA,NA,NA,NA,NA,NA
462,NA,NA,Conference Presentation,2014,E-valuating the Impact of Face-to-Face and Online Information Literacy and Writing Skills Instruction Using a Mixed Methods Research Design,WILU,NA,NA,NA,NA,NA,NA,NA,NA
463,NA,NA,Article,2010,Google Book Search and the Future of Libraries,Dalhousie Journal of Interdisciplinary Management,6,1,NA,NA,NA,NA,NA,NA
464,10.21083/partnership.v12i1.3979,NA,Article,2017,"Jumping into the deep: imposter syndrome, defining success and the new librarian",Partnership: The Canadian Journal of Library and Information Practice and …,12,1,NA,NA,NA,NA,NA,NA
465,NA,NA,Article,2010,"Personal growth, habits, and understanding: Pleasure reading among first-year university students",Dalhousie University,5,4,53-69,NA,NA,NA,NA,NA
466,10.5206/cjsotlrcacea.2021.1.14204,NA,NA,2021,The Intersection between Instructor Expectations and Student Interpretations of Academic Skills,The Canadian Journal for the Scholarship of Teaching and Learning,12,1,NA,NA,NA,NA,NA,NA
467,NA,NA,NA,NA,The Intersection between Professor Expectations and Student Interpretations of Academic Skills: A Multi-Disciplinary Approach,The Fourth European Conference on Information Literacy (ECIL),58,NA,NA,NA,NA,NA,NA,NA
468,10.7939/R3NS0MB32,NA,Conference,2017,Using animated GIFs to walk the line between skill development and higher-level concepts in information literacy instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,NA,NA,NA,1989,Altered fungal morphogenesis during early stages of ectomycorrhiza formation in Eucalyptus pilularis,Scanning Microscopy,3,1,NA,NA,NA,NA,NA,NA
470,10.1111/j.1439-0329.1990.tb01151.x,NA,NA,1990,Effect of the fungicides benomyl and oxine benzoate on the mycelial growth of four isolates of E-strain fungi in vitro.,European journal of forest pathology,NA,NA,NA,NA,NA,NA,NA,NA
471,NA,NA,NA,2006,Guide to reference and information sources in plant biology,Libraries Unlimited,NA,NA,NA,NA,NA,NA,NA,NA
472,10.1139/b91-268,NA,NA,1991,Structure and development of Pinus banksiana – Wilcoxina ectendomycorrhizae,Canadian journal of botany,69,10,NA,NA,NA,NA,NA,NA
473,10.1139/b91-269,NA,NA,1991,Structure of ectomycorrhizae formed by Wilcoxina mikolae var. mikolae with Picea mariana and Betula alleghaniensis,Canadian journal of botany,69,10,NA,NA,NA,NA,NA,NA
474,NA,NA,NA,2002,"Using the Biological Literature: A Practical Guide Third Edition, Revised and Expanded",BOOKS IN LIBRARY AND INFORMATION SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA
475,NA,NA,NA,2014,What's the big deal? Collection evaluation at the national level,Portal: Libraries and the academy,NA,NA,NA,NA,NA,NA,NA,NA
476,NA,NA,Article,2020,Back to Nepal: A Canadian Perspective,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
477,10.21083/partnership.v7i2.2014,NA,Article,2012,Digital preservation initiatives in Ontario: trusted digital repositories and research data repositories,Partnership: The Canadian Journal of Library and Information Practice and …,7,2,NA,NA,NA,NA,NA,NA
478,NA,NA,Obituary,2021,"For Dr. C McKenzie (Mac) Lewis, in memoriam",Canta Aeide: Journal of Classical Studies,2,1,NA,NA,NA,NA,NA,NA
479,NA,NA,Presentation,2012,Knowledge Translation and Transfer (KTT) Success Stories: KTT through Innovation and Collaboration,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,NA,NA,Book Chapter,2017,Mobile technology support for field research,Association of College & Research Libraries,NA,NA,NA,NA,NA,NA,NA,NA
481,NA,9780203887370,Book,2008,Open access journals: the global movement and local publishing,"Routledge: Abingdon, UK",NA,NA,NA,NA,NA,NA,NA,NA
482,10.21083/csieci.v10i1.4421,NA,Book Chapter,2014,Splash Page Credits,Critical Studies in Improvisation/Études critiques en improvisation,10,1,NA,NA,NA,NA,NA,NA
483,NA,NA,Article,2007,The Library as an agent for transforming scholarly communications,International Association of Technical University Libraries,NA,NA,NA,NA,NA,NA,NA,NA
484,NA,NA,Article,2008,The LM Montgomery Collection at the University of Guelph,Canadian Children's Literature/Littérature canadienne pour la jeunesse,34,2,124-129,NA,NA,NA,NA,NA
485,NA,NA,Article,2017,# Textbookbroke: Findings of a University of Guelph student survey on textbook purchasing behaviours and outcomes,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
486,NA,NA,Review,2018,A Protocol for a Scoping Review to Examine Studies Investigating Zoonotic Diseases in Canis familaris in North America Since the Beginning of the 21st Century.,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,10.1017/S1466262319000136,NA,Review,2019,"A scoping review of 'big data', 'informatics', and tioinformatics' in the animal health and veterinary medical literature",Animal Health Research Reviews,20,1,1-18,NA,NA,NA,NA,NA
488,NA,NA,Book Chapter,2021,Current Issues in the Field,Association of College and Research Libraries (ACRL) Press,NA,NA,NA,NA,NA,NA,NA,NA
489,NA,NA,Conference Presentation,2018,"Disrupting traditional power structures in academic libraries: Saying no, how to do it, and why it matters",The University of Arizona,NA,NA,NA,NA,NA,NA,NA,NA
490,10.1111/jvim.15344,NA,article,2019,Efficacy of Borrelia burgdorferi vaccine in dogs in North America: A systematic review and meta‐analysis,Journal of veterinary internal medicine,33,1,23-36,NA,NA,NA,NA,NA
491,NA,NA,Article,2016,Efficacy of the canine Lyme vaccine in North America: a protocol for a systematic review and meta-analysis,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
492,10.31229/osf.io/z35fn,NA,article,2020,"Fat, Fit, and Fem: Exploring Performative Femininity for Fat Female Librarians",LIS Scholarship Archive,NA,NA,NA,NA,NA,NA,NA,NA
493,NA,NA,Conference Presentation,2018,Levelling up or levelling out? In search of a new vision for library leadership,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,NA,NA,Book Chapter,2019,Making the Most of and Moving Beyond Your First Professional Position: Strategies for Success,The Future Academic Librarian’s Toolkit: Finding Success on the Job Hunt and …,NA,NA,NA,NA,NA,NA,NA,NA
495,NA,NA,Review,2018,Protocol for a scoping review: The use of accelerometers on preschool aged children: a methodological review,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
496,NA,NA,Review,2017,Protocol for a systematic review: Effects of local anesthesia and/or systemic analgesia on pain caused by cautery disbudding in calves,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
497,NA,NA,NA,2017,"The prevalence and mean concentration of Listeria monocytogenes in select ready-to-eat foods: soft cheeses, deli meats, and packaged salads: a protocol for a systematic review …",Atrium,NA,NA,NA,NA,NA,NA,NA,NA
498,10.1017/S1466252320000237,NA,article,2021,Unleashing the literature: a scoping review of canine zoonotic and vectorborne disease research in Canis familiaris in North America,Animal Health Research Reviews,22,1,26-39,NA,NA,NA,NA,NA
499,10.7710/2162-3309.2371,NA,NA,2020,"Using Outreach Weeks to Examine Labor, Assessment and Value in Open Advocacy",Journal of Librarianship and Scholarly Communication,8,1,NA,NA,NA,NA,NA,NA
500,NA,NA,article,2017,What Collaboration Means to Me: Passing the Mic,Collaborative Librarianship,9,3,NA,NA,NA,NA,NA,NA
501,NA,NA,Report,2020,Where Does Open Fit?: Investigating the Attitudes and Behaviours of University of Guelph Faculty Members on Course Material Selection and Use,Atrium,NA,NA,NA,NA,NA,NA,NA,NA
502,NA,NA,Article,2010,A Librarian’s Reflections on the Emerging Bibliography of Film Music,CAML Review/Revue de l'ACBM,38,2,NA,NA,NA,NA,NA,NA
503,NA,NA,Article,1993,Becoming a subject literature expert: a case study in gerontology,RQ,33,2,205-212,NA,NA,NA,NA,NA
504,NA,NA,Conference Proceedings,2013,CAML on Vancouver Island (Congress 2013),CAML Review/Revue de l'ACBM,41,2,NA,NA,NA,NA,NA,NA
505,10.21083/partnership.v14i2.5417,NA,Book Review,2019,Critical Literacy for Information Professionals,Partnership: the Canadian Journal of Library and Information Practice and …,14,2,1-2,NA,NA,NA,NA,NA
506,NA,NA,Article,2002,Elder Abuse: A Bibliographic Investigation = Les mauvais traitements envers les personnes âgées : Une enquête bibliographique,Ontario Elder Abuse Conference,NA,NA,NA,NA,NA,NA,NA,NA
507,10.21083/partnership.v12i2.4113,NA,Book Review,2017,Information Literacy and Writing Studies in Conversation: Reenvisioning Library-Writing Program Connections,Partnership: The Canadian Journal of Library and Information Practice and …,12,2,1-2,NA,NA,NA,NA,NA
508,NA,NA,Conference Proceedings,2014,International Music Librarianship: IAML & R-Project Sessions at CAML 2014,CAML Review/Revue de l'ACBM,42,2,NA,NA,NA,NA,NA,NA
509,10.21083/partnership.v13i1.4330,NA,Book Review,2018,The Dialectic of Academic Librarianship (Book review),Partnership: The Canadian Journal of Library and Information Practice and …,13,1,NA,NA,NA,NA,NA,NA
510,NA,NA,Book Review,2011,The Encyclopedia of Music in Canada at 30,CAML Review/Revue de l'ACBM,39,3,NA,NA,NA,NA,NA,NA
511,NA,NA,Article,1989,"The Tate Library, Huntington College, Laurentian University",CAML Review/Revue de l'ACBM,NA,NA,NA,NA,NA,NA,NA,NA
512,NA,NA,Conference Proceedings,2001,Toronto 2000: Musical Intersections,CAML Review/Revue de l'ACBM,NA,NA,NA,NA,NA,NA,NA,NA
513,NA,NA,Conference Presentation,2001,“The Jesuits Did It!” Charles Chiniquy’s Theory of Lincoln’s Assassination,Historical Papers,NA,NA,NA,NA,NA,NA,NA,NA
514,NA,NA,Article,1995,A New role for the CHA?,Canadian Historical Association/Société historique du Canada,NA,NA,NA,NA,NA,NA,NA,NA
515,NA,NA,Article,2004,Achille Delaere and the Origins of the Ukrainian Catholic Church in Western Canada,Historical Papers,NA,NA,NA,NA,NA,NA,NA,NA
516,NA,NA,Book Review,2016,Becoming Holy in Early Canada,Historical Studies,82,NA,77-79,NA,NA,NA,NA,NA
517,NA,NA,Book Review,2019,Between Santiago de Compostela and Sainte-Anne-de-Beaupre. The quebec pilgrim's march since the 1990s,Laval Theologique et Philosophique,75,2,345-347,NA,NA,NA,NA,NA
518,NA,NA,Book Chapter,1994,Canada’s Sunday: The Presbyterian Contribution 1875–1950,"McGill-Queen’s Press, Montreal",NA,NA,83-100,NA,NA,NA,NA,NA
519,NA,NA,Index,2009,Canadian Society of Church History Fiftieth Anniversary Cumulative Index: 1960-2009,Historical Papers,NA,NA,NA,NA,NA,NA,NA,NA
520,NA,NA,Article,1987,Charles Chiniquy: The Making of an Anti-Catholic Crusader,CCHA Historical Studies,54,NA,NA,NA,NA,NA,NA,NA
521,NA,NA,Book Review,2002,Christianity in Canada: Historical Essays,Redeemer's Voice Press,NA,NA,NA,NA,NA,NA,NA,NA
522,NA,NA,Article,2005,Chronica missionum: The Newfoundland missions of 1913,Spicilegium historicum,53,1,139-181,NA,NA,NA,NA,NA
523,10.1177/000842980703600125,NA,Book Review,2007,Comptes rendus/Reviews of books: Eastern Christians in the New World: An Historical and Canonical Study of the Ukrainian Catholic Church in Canada,Studies in Religion/Sciences Religieuses,36,1,183-184,NA,NA,NA,NA,NA
524,NA,NA,Article,1988,Creating an Anti‐Catholic Crusader: Charles Chiniquy,Journal of religious history,15,1,94-108,NA,NA,NA,NA,NA
525,NA,NA,Book Review,2018,"Daniel Burston, A Forgotten Freudian: The Passion of Karl Stern",Historical Studies,84,NA,106-109,NA,NA,NA,NA,NA
526,NA,NA,Article,1998,Dechristianization in 20th-Century Canada,Kirchliche Zeitgeschichte,NA,NA,NA,NA,NA,NA,NA,NA
527,10.1353/cat.2007.0185,NA,Article,2007,Dictionary of Basilian Biography: Lives of Members of the Congregation of Priests of Saint Basil from Its Origins in 1822 to 2002,The Catholic Historical Review,93,2,371-372,NA,NA,NA,NA,NA
528,NA,NA,Article,1994,"Early American Redemptorists in British North America, 1834-1863",The Catholic historical review,80,3,476-496,NA,NA,NA,NA,NA
529,NA,"
0968881335",Book,2003,Early Presbyterianism in Canada,Gravelbooks,NA,NA,NA,NA,NA,NA,NA,NA
530,NA,NA,Book Review,2016,"Following Father Chiniquy: Immigration, Religious Schism, and Social Change in Nineteenth-Century Illinois",American Catholic Studies,127,4,84-87,NA,NA,NA,NA,NA
531,NA,NA,Book Review,2017,"Frank A. Abbott. The Body or the Soul? Religion and Culture in a Quebec Parish, 1736-1901",Historical Studies,83,NA,89-92,NA,NA,NA,NA,NA
532,NA,NA,Conference Proceedings,1991,"HUEL, Raymond, dir., Études oblates de l’Ouest 1. Actes du premier colloque sur l’histoire des Oblats dans l’Ouest et le Nord canadien/Western Oblate Studies 1. Proceedings of …",Revue d'histoire de l'Amérique française,44,4,599-601,NA,NA,NA,NA,NA
533,10.7202/1070847ar,NA,Article,2019,"Michel O’Neill, Entre Saint-Jacques-de-Compostelle et Sainte-Anne-de-Beaupré. La marche pèlerine québécoise depuis les années 1990. Préface par Nicole Blondeau, Rando Québec …",Laval théologique et philosophique,75,2,345-347,NA,NA,NA,NA,NA
534,10.7202/1035571ar,NA,Book Review,2015,"Michel O’Neill, L’épopée des Petits frères de la Croix. Histoire d’une nouvelle communauté monastique québécoise dans l’Église catholique d’aujourd’hui. Préface de Raymond …",Laval théologique et philosophique,71,2,339-341,NA,NA,NA,NA,NA
535,NA,NA,Book Review,2017,"Pensionnats autochtones: des corrections/Henri Goulet, Histoire des pensionnats indiens catholiques au Québec: le rôle déterminant des pères oblats, Montréal, Les Presses de l …",Les Cahiers de lecture de L'Action nationale,11,3,44750,NA,NA,NA,NA,NA
536,NA,NA,Article,1989,"PREDOMINANT TRENDS IN RELIGIOUS HISTORIOGRAPHY IN ENGLISH CANADA, 1979-1988",REVUE D HISTOIRE DE L AMERIQUE FRANCAISE,42,4,579-587,NA,NA,NA,NA,NA
537,NA,NA,Book Review,2016,"Rebel Priest in the Time of Tyrants: Mission to Haiti, Ecuador and Chile",Historical Studies,82,NA,84-87,NA,NA,NA,NA,NA
538,NA,978-1550022728,Book,1996,"Redemption and Renewal: The Redemptorists of English Canada, 1834-1994",Dundurn,NA,NA,NA,NA,NA,NA,NA,NA
539,NA,9780978194413,Book,2007,"Redemption and Ritual: The Eastern-rite Redemptorists of North America, 1906-2006",Redeemer's Voice Press,NA,NA,NA,NA,NA,NA,NA,NA
540,NA,NA,Conference Presentation,2006,Religion and Public History,Historical Papers,NA,NA,NA,NA,NA,NA,NA,NA
541,NA,NA,Conference Presentation,1992,"Remarks on the History of Redemptorists in Canada, 1834-1898",sciences (ACFAS),11,NA,12,NA,NA,NA,NA,NA
542,10.1111/j.1467-9809.2008.00622_13.x,NA,Book,2004,Sunday in Canada: The rise and fall of the Lord's day,Gravelbooks,NA,NA,NA,NA,NA,NA,NA,NA
543,10.7202/304739ar,NA,Article,1989,"Tendances dominantes de l’historiographie religieuse au Canada anglais, 1979-1988",Revue d'histoire de l'Amérique française,42,4,579-587,NA,NA,NA,NA,NA
544,NA,NA,Article,1994,The American redemptorists in British North America 1832-1862,Spicilegium historicum Congregationis SSmi Redemptoris,42,2,319-344,NA,NA,NA,NA,NA
545,NA,NA,Article,1993,"The first vice-province of Toronto, 1898-1901",Spicilegium historicum Congregationis SSmi Redemptoris,41,2,241-275,NA,NA,NA,NA,NA
546,NA,NA,Article,1993,"The Redemptorist Mission in Canada, 1865-1885",Historical Papers,NA,NA,NA,NA,NA,NA,NA,NA
547,NA,NA,Thesis,1984,The Religious Invective of Charels Chiniquy Anti-Catholic Crusader 1875-1900,McGill University,NA,NA,NA,NA,NA,NA,NA,NA
548,10.7202/1035571ar,NA,Book Review,2015,The saga of the Little brothers of the Cross. History of a new quebec monastic community in the catholic church today,Laval Theologique et Philosophique,71,2,339-341,NA,NA,NA,NA,NA
549,NA,NA,Book Review,2018,"Une histoire à contre-courant/Leila Inkstetter, Initiatives et adaptations algonquines au XIXe siècle, Québec, Septentrion, 2017, 521 pages",Les Cahiers de lecture de L'Action nationale,12,2,33-34,NA,NA,NA,NA,NA
550,NA,NA,Conference Proceedings,1991,"WESTERN OBLATE STUDIES. 1. PROCEEDINGS OF THE 1ST SYMPOSIUM ON THE HISTORY OF THE OBLATES IN WESTERN AND NORTHERN CANADA-FRENCH AND ENGLISH-HUEL, R",REVUE D HISTOIRE DE L AMERIQUE FRANCAISE,44,4,599-601,NA,NA,NA,NA,NA
551,10.7202/305134ar,NA,Book Review,1993,"WRIGHT, Robert, A World Mission: Canadian Protestantism and the Quest for a New International Order, 1918-1939. Montréal et Kingston, McGill-Queen's University Press, coll …",Revue d'histoire de l'Amérique française,46,3,547-549,NA,NA,NA,NA,NA
552,10.1371/journal.pone.0210734,NA,Review,2019,A public health approach to mobilizing community partners for injury prevention: A scoping review,PLoS ONE,14,1,NA,NA,NA,NA,NA,NA
553,10.1016/j.ecns.2018.11.002,NA,Review,2019,A Systematic Review of Health Care Presimulation Preparation and Briefing Effectiveness,Clinical Simulation in Nursing,27,NA,12-25,NA,NA,NA,NA,NA
554,https://doi.org/10.11645/15.3.2947,NA,journal-article,2021,"(Mis)information, information literacy, and democracy",Journal of Information Literacy,15,3,56-56,https://openalex.org/W4200599637,NA,NA,NA,NA
555,NA,NA,journal-article,1999,A Story of Names,Journal of the Motherhood Initiative for Research and Community Involvement,1,1,NA,https://openalex.org/W1542123829,NA,NA,NA,NA
556,NA,NA,book,2007,"Shakespeare Made in Canada: Contemporary Canadian Adaptations in Theatre, Pop Media and Visual Arts",MacDonald Stewart Art Centre,NA,NA,NA,https://openalex.org/W1624379572,NA,NA,NA,NA
557,10.5596/c17-010,NA,journal-article,2017,Bibliotherapy-based Wellness Program for Healthcare Providers: Using Books and Reading to Create a Healthy Workplace,The journal of the Canadian Health Libraries Association,38,2,44-50,https://openalex.org/W2740247610,NA,NA,NA,NA
558,10.5596/c17-010,NA,Conference Paper,2016,Bibliotherapy in a Hospital Setting: Promoting Health and Well-Being to Health Care Providers,NA,NA,NA,NA,https://openalex.org/W2560012080,NA,NA,NA,NA
559,https://doi.org/10.21083/partnership.v6i1.1402,NA,journal-article,2011,Bibliotherapy in a Library Setting: Reaching out to Vulnerable Youth,Partnership: The Canadian Journal of Library and Information Practice and Research,6,1,NA,https://openalex.org/W1848758991,NA,NA,NA,NA
560,https://doi.org/10.29085/9781783303434.006,NA,book-chapter,2018,Read to Connect: reading to combat loneliness and promote resilience,Cambridge University Press,NA,NA,77-92,https://openalex.org/W2991025863,NA,NA,NA,NA
561,10.21173/newlibs/6/13,NA,Article,2019,""" You’re one of us”: The impact of propinquity on a liaison librarian’s professional identity",Journal of New Librarianship,4,1,188-192,NA,NA,NA,NA,NA
562,NA,NA,Conference Presentation,2018,Bringing the “classroom” to the library,Re-think it,NA,NA,NA,NA,NA,NA,NA,NA
563,NA,NA,Article,2014,Creating Partnerships with Business Student Organizations: Effectively Promoting and Providing Business Case Competition Research Sessions,B&F Bulletin,2014,152,13,NA,NA,NA,NA,NA
564,10.1108/S2055-364120200000029012,NA,Article,2020,Designing Effective Library Learning Spaces in Higher Education,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,Book Chapter,2020,From 'Dust to to the Dawn of a New Age',Designing Effective Library Learning Spaces in Higher Education,NA,NA,NA,NA,NA,NA,NA,NA
566,10.29242/spec.355,NA,Article,2017,SPEC Kit 355: Campus-wide entrepreneurship,ACRL,NA,NA,NA,NA,NA,NA,NA,NA
567,10.5325/jpoststud.4.2.0166,NA,Article,2020,Describing the Unspeakable: Psychedelic Communication Technologies and the Development of a Posthuman Language,Journal of Posthuman Studies,4,2,NA,NA,NA,NA,NA,NA
568,10.33137/ijournal.v6i2.36453,NA,Article,2021,"Enter the Matrix: What the new brain-computer interfaces teach us about agency, privacy, and human subjectivity",The iJournal: Graduate Student Journal of the Faculty of Information,6,2,NA,NA,NA,NA,NA,NA
569,NA,NA,NA,2019,Fighting Back Against an Imaginary Evil: How studying Jordan Peterson’s Rhetoric Helps Us to Recognize Populism in The Digital Age,Crossings,NA,NA,NA,NA,NA,NA,NA,NA
570,NA,NA,Book Review,2013,The Cowboy Cavalry: The Story of the Rocky Mountain Rangers,Great Plains Quarterly,33,2,131-142,NA,NA,NA,NA,NA
571,10.21083/partnership.v16i1.6473,NA,journal-article,2021,Manitoba Public Libraries Response to the Early Stages of COVID-19,Partnership: The Canadian Journal of Library and Information Practice and Research,16,1,1-11,https://openalex.org/W3180163338,NA,NA,NA,NA
572,10.21083/partnership.v11i1.3602,NA,NA,2016,Library Space and Signage Kindness Audits: What Does Your User See?,Partnership: The Canadian Journal of Library and Information Practice and …,NA,NA,NA,NA,NA,NA,NA,NA
573,10.5596/c15-015,NA,NA,2015,Restricted: Increasing Access to the Reference Collection,Journal of the Canadian Health Libraries Association/Journal de l …,NA,NA,NA,NA,NA,NA,NA,NA
574,10.1080/02763869.2015.986782,NA,Article,2015,Analysis of a librarian-mediated literature search service,Medical reference services quarterly,34,1,29-46,NA,NA,NA,NA,NA
